FID,文保级,景点介绍（80–150字）,推荐游览时长,标签,编写依据
13,,香山寺位于武功镇人民政府附近，是古镇片区较易到达的寺庙类景点。游览以观赏传统庙宇建筑、了解地方信仰和静态休闲为主，适合与小华山、清凉寺等节点串联，形成轻量访古线路。,30–45分钟,"祈福,摄影,文化游,休闲游",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
14, 国家级,报本寺塔为国家级文保点，是武功古镇最具辨识度的古建筑地标之一。塔体承载佛教文化和古镇历史记忆，适合重点拍照、文物讲解和古建筑研学，是古镇游线的核心节点和视觉焦点。,30–45分钟,"研学,摄影,古建,历史文化",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
15,,玉皇堂位于积山村，是一处具有地方庙宇特征的传统信仰空间。游客可在此了解玉皇信仰、乡村祭祀与村落公共生活，适合作为乡村文化考察和古镇外围游线的补充节点，停留轻松。,20–30分钟,"民俗体验,祈福,乡村游,摄影",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
16,,财神楼位于马道巷西口，具有鲜明的民间信仰和街巷节点属性。景点适合短暂停留、拍摄古镇街巷风貌，并结合商贸文化、民俗祈福主题进行讲解，增强古镇游览的生活气息和烟火感。,15–25分钟,"民俗体验,摄影,祈福,街巷游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
17,,盛世阁位于后稷广场，是展示古镇公共空间形象的观景与打卡节点。游客可在广场活动中停留休憩，拍摄阁楼与周边景观，也适合结合后稷文化广场开展夜游、集会和城市形象展示。,20–30分钟,"摄影,亲子,休闲游,夜游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
18, 国家级,城隍庙为国家级文保点，是武功古镇重要的传统礼制与民间信仰空间。其位置处于东街片区，适合重点了解古镇历史、城隍文化和古建筑保护价值，是文化游与研学游核心节点。文化层次丰富。,30–45分钟,"研学,古建,民俗体验,祈福",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
19,,后稷文化广场围绕后稷教民稼穑主题展开，是武功农耕文化展示和公共活动的重要空间。这里适合团队集合、主题讲解、亲子互动与夜间休闲，可作为古镇游线的起承转合节点。主题识别清晰。,30–60分钟,"亲子,研学,农耕文化,休闲游",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
20,,美阳里位于武功古镇东街一带，是展示古镇街巷生活、传统商业和地方文化的综合节点。适合慢行游览、拍摄街区风貌，并结合美阳关、美阳城等内容讲述武功古城历史格局与市井记忆。,30–60分钟,"摄影,街巷游,民俗体验,文化游",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
21, 省级,教稼圣地是武功农耕文明叙事中的核心节点，突出后稷教民稼穑与农业起源主题。景点适合开展农耕文化研学、历史讲解和亲子教育，可与后稷文化广场、古镇街区联合游览，主题鲜明。,45–60分钟,"研学,亲子,农事体验,农耕文化",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
22,,武功古镇集古街巷、文保建筑、农耕文化和滨水休闲于一体，是区域文旅游览的核心载体。游客可步行串联报本寺塔、城隍庙、苏武纪念馆、姜嫄水乡等节点，适合半日到一日深度游。,3–5小时,"研学,摄影,亲子,古镇游",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
23,,美阳关美阳城位于美阳里附近，是理解武功古城门户、关隘意象和历史空间格局的景点。适合结合古镇东街慢行游览，通过城门、街巷和展示场景感受古城防御、商旅往来与城市记忆。,30–45分钟,"研学,摄影,历史文化,街巷游",原表POI字段；公开资料综合：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html；https://www.sohu.com/a/549815335_100185418
24,,漆沮湖·立心岛位于漆沮湖水域内，是以湖岛景观和滨水休闲为特色的生态游憩节点。适合观景、拍照、亲子散步和轻度休闲，可与漆沮湖、湿地公园共同形成水岸慢游线路。视野开阔。,45–60分钟,"亲子,摄影,生态休闲,湖岸游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
25,,漆沮湖依托武功镇水系景观形成，是展示漆水河、沮水河滨水风貌的重要节点。游客可沿湖岸散步、观景和拍摄水面景观，也适合结合湿地公园开展生态科普、亲子休闲与水岸慢游。,1–1.5小时,"亲子,摄影,生态科普,休闲游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
26,,观澜门位于武功镇东街东口，是古镇入口和街区形象展示节点。这里适合作为游线起点或终点，便于拍摄古镇门楼、导入美阳里和东街游览，并承接城门文化与滨水景观意象。适合快速打卡。,15–25分钟,"摄影,古镇游,街巷游,文化打卡",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
27,,菩萨庙位于南关正街附近，是武功镇传统宗教和民间祈福空间之一。景点适合短暂停留、了解地方香火习俗与庙宇建筑形式，也可与老君殿、小华山庙等南关节点串联，形成顺路游览。,20–30分钟,"祈福,民俗体验,文化游,摄影",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
28,,武功河滩古会遗址记录了当地传统集会、商贸往来和民俗活动的历史场景。游览以遗址认知和地方社会生活讲解为主，适合与弘荣广场、周边街区共同组织民俗研学线路，强调场所记忆。,30–45分钟,"研学,民俗体验,历史遗址,乡村游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
29,,弘荣广场位于新区道路交汇附近，是周边游线中的公共活动与休憩节点。场地适合团队集合、节庆活动、亲子停留和拍照打卡，可作为河滩古会遗址及周边景点的配套空间和服务节点。,20–40分钟,"亲子,休闲游,摄影,活动集散",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
30,,弘荣赓盛位于河滩路与227县道附近，适合作为古镇外围文化展示和休闲停留节点。游客可结合周边广场、河滩古会遗址游览，理解当地公共空间更新与传统文脉延续，适合短线打卡。,20–30分钟,"文化游,摄影,休闲游,民俗体验",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
31,,集贤门位于武功镇南街口，是古镇南向入口和街巷游线的重要标识。适合作为游客进入南街、南关片区的打卡点，结合古镇门楼、街巷肌理和历史人文进行简短讲解，停留效率高。空间导向明确。,15–25分钟,"摄影,古镇游,街巷游,文化打卡",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
32, 省级,姜嫄圣母墓为省级文保点，是武功姜嫄文化和周族始祖传说的重要纪念地。景点适合开展历史传说、农耕文明源流和地方信仰主题研学，可与圣母庙、教稼圣地联动游览，文化指向明确。,30–45分钟,"研学,历史文化,民俗体验,摄影",原表POI字段；武功文旅资料：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html
33,,玉皇楼位于临杨路与104省道附近，是南关片区具有传统信仰和街巷标识意义的建筑节点。游客可短暂停留拍照，结合玉皇信仰、古镇街口空间和周边庙宇形成小尺度游线，适合顺路参观。,15–25分钟,"摄影,祈福,文化打卡,街巷游",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
34,,魁星楼位于玉皇楼附近，具有崇文重教和传统楼阁文化意味。景点适合与周边庙宇、街巷节点一起游览，讲述科举文化、地方教育记忆和古镇南关片区的空间特色，适合短暂停留。文化寓意鲜明。,15–25分钟,"研学,摄影,文化打卡,古建",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
35,,老君殿位于南关正街与104省道附近，是道教文化和地方民间信仰的重要节点。游览以祈福、访古和了解传统庙宇空间为主，适合与小华山庙、菩萨庙组成南关宗教文化线路。氛围安静。,20–30分钟,"祈福,民俗体验,文化游,摄影",原表POI字段；公开资料综合：https://www.sohu.com/a/549815335_100185418
36, 省级,关帝庙为省级文保点，承载关公信仰、忠义文化和传统建筑艺术价值。景点适合开展民俗文化、古建筑和地方历史讲解，也可与南关片区其他庙宇共同形成祈福游线，文化辨识度较高。,30–45分钟,"研学,祈福,古建,民俗体验",原表POI字段；武功文旅资料：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html
37, 县级,小华山庙为县级文保点，位于南关正街附近，是小华山文化景观中的重要庙宇节点。这里适合登高访古、拍摄庙宇与山地景观，并结合张载讲学传说和地方信仰开展研学，游览节奏轻松。,30–45分钟,"研学,摄影,祈福,登高",原表POI字段；武功文旅资料：https://sx.sina.cn/news/xian/2024-03-27/detail-inaptkks3022801.d.html
